CodeRegion,CodeAgence,LibelleAgence,code_gestion_agence
6,2712,AGENCE DE ALBI,V6271
6,0896,AGENCE DE AUCH,V6089
8,0460,AGENCE DE AURILLAC,V8046
5,2790,AGENCE DE AVIGNON,V5279
3,3336,AGENCE DE BESANCON,V3333
7,4634,AGENCE DE BREST,V7463
2,0441,AGENCE DE CAEN,V2044
6,4516,AGENCE DE CAHORS,V6451
8,AI801,Agence Interventions Puy-de-Dôme,V8179
3,2874,AGENCE DE EPINAL,V3287
7,2815,AGENCE DE LA ROCHE SUR YON,V7281
7,2102,AGENCE DE LE MANS,V7210
3,1166,AGENCE DE LONS LE SAUNIER,V3116
4,1605,AGENCE DE NEVERS,V4160
1,2450,AGENCE DE PARIS 16,V1245
6,1881,AGENCE DE TARBES,V6188
2,1699,AGENCE DE BEAUVAIS,V2169
7,1532,AGENCE DE CAUDAN,V7153
8,0739,AGENCE DE CHARTRES,V8073
5,0110,AGENCE DE DIGNE LES BAINS,V5011
3,1949,AGENCE DE ILLZACH,V3194
2,2533,AGENCE DE LE HAVRE,V2253
8,5748,AGENCE DE LIMOGES,V8574
5,6609,AGENCE DE MARSEILLE 08,V5660
7,5600,AGENCE DE NANTES,V7560
5,1890,AGENCE DE PERPIGNAN,V5189
7,2838,AGENCE DE POITIERS,V7283
6,0332,AGENCE DE RODEZ,V6033
5,2775,AGENCE DE TOULON,V5277
1,AI101,Agence Interventions Villeneuve-la-Garenne,V1315
4,2000,AGENCE DE VILLEURBANNE,V4200
8,0547,AGENCE DE BRIVE LA GAILLARDE,V8054
3,0226,AGENCE DE CHARLEVILLE MEZIERES,V3022
1,3592,AGENCE DE DOMONT,V1359
8,0641,AGENCE DE GUERET,V8064
3,AI301,Agence Interventions Metz,V3427
8,0087,AGENCE DE MONTLUCON,V8008
3,1473,AGENCE DE ST DIZIER,V3147
6,AI601,Agence Interventions Toulouse,V6086
6,3345,AGENCE DE ANGLET,V6334
4,3352,AGENCE DE ANNEMASSE,V4335
3,AI302,Agence Interventions Mulhouse,V3477
8,1194,AGENCE DE BLOIS,V8119
5,3358,AGENCE DE CAISSARGUES,V5335
5,3442,AGENCE DE CARCASSONNE,V5344
2,1419,AGENCE DE CHERBOURG OCTEVILLE,V2141
3,6608,AGENCE DE CORMONTREUIL,V3660
6,1178,AGENCE DE DAX,V6117
1,3157,AGENCE DE LE BLANC MESNIL,V1315
6,2743,AGENCE DE MONTAUBAN,V6274
5,7084,AGENCE DE MONTPELLIER,V5708
5,AI501,Agence Interventions Nice,V5354
7,3506,AGENCE DE PLERIN,V7350
8,4647,AGENCE DE TOURS,V8464
3,2059,AGENCE DE VESOUL,V3205
1,3212,AGENCE DE ALFORTVILLE,V1321
4,2895,AGENCE DE AUXERRE,V4289
8,0527,AGENCE DE BOURGES,V8052
4,7063,AGENCE DE ECHIROLLES,V4706
5,0137,AGENCE DE GAP,V5013
7,4060,AGENCE DE LA ROCHELLE,V7406
1,2639,AGENCE DE LE CHESNAY,V1263
2,AI202,Agence Interventions Roubaix,V2164
1,2597,AGENCE DE MEAUX,V1259
3,0292,AGENCE DE TROYES,V3029
2,4070,AGENCE DE ALENCON,V2407
8,1033,AGENCE DE CHATEAUROUX,V8103
2,7040,AGENCE DE CHAUNY,V2704
4,3541,AGENCE DE CHENOVE,V4354
6,0253,AGENCE DE FOIX,V6025
3,5913,AGENCE DE HAGUENAU,V3591
7,1480,AGENCE DE LAVAL,V7148
8,6986,AGENCE DE LE PUY EN VELAY,V8698
7,AI701,Agence Interventions Ille-et-Vilaine,V7100
7,1393,AGENCE DE ANGERS,V7139
7,0480,AGENCE DE ANGOULEME,V7048
4,0012,AGENCE DE BOURG EN BRESSE,V4001
4,2071,AGENCE DE CHALON SUR SAONE,V4207
2,4437,AGENCE DE EVREUX,V2443
3,5705,AGENCE DE NANCY,V3570
3,1529,AGENCE DE VERDUN,V3152
6,1367,AGENCE DE AGEN,V6136
2,2695,AGENCE DE AMIENS,V2269
4,2140,AGENCE DE CHAMBERY,V4214
1,5193,AGENCE DE EVRY,V1519
4,0215,AGENCE DE LE TEIL,V4021
2,AI201,Agence Interventions Wambrechies,V2177
6,3344,AGENCE DE LIBOURNE,V6334
7,2682,AGENCE DE NIORT,V7268
8,6985,AGENCE DE ORLEANS,V8698
6,0658,AGENCE DE PERIGUEUX,V6065
4,AI401,Agence Interventions Lyon Métropole,V4123
4,0712,AGENCE DE VALENCE,V4071
